vendedor_link,especificacoes,preco,vendedor,modelo,fabricante,local
http://www.boadica.com.br/detalhevendedor.asp?codigo=0c4ac1e2e480117996db1281440376eb,"Wi-Drive Storage Portátil 16GB, Armazenamento portátil e sem fios com 16Gb. Compatível com iPad, iPhone, e iPod touch. Integrado com Wi-Fi 802.11g/n; Sistema Operacional Compativel (Windows 7, Windows Vista (SP1, SP2), Mac OS v.10.5.x+ ,Linux v.2.6.x+)
          ,
          ","
			R$ 139,00
         ","IR Print,
         (21) 3468-7381","
         WID/16GBZE  ,
         ",Kingston,"Rio de Janeiro / RJ,Bangu"
http://www.boadica.com.br/detalhevendedor.asp?codigo=1df216592ba519f7633908ce2424ba87,"SanDisk ReadyCache SDSSDRC-032G-G26 2.5"" 32GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 164,99
         ","Info X,
         (21) 3329-6141 ","
         SDSSDRC-032G-G26 - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Barra da Tijuca"
http://www.boadica.com.br/detalhevendedor.asp?codigo=7b9619a9d99b7f1afecd4f1d0b423b88,"Intel 525 Series Lincoln Crest SSDMCEAC030B301 mSATA 30GB SATA III MLC Internal Solid State Drive 
          ,
          ","
			R$ 180,00
         ","Out let,
         (21) 2416-0154","
         SSDMCEAC030B301 ,
         ",Intel,"Rio de Janeiro / RJ,Campo Grande"
http://www.boadica.com.br/detalhevendedor.asp?codigo=75caf1f1848d106d7f5043debd0dac85,"Kingston SMS200S3/30G Leitura sequencial 550MB/s, Gravações sequenciais 510MB 30GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 185,00
         ","Mr Bios ,
         (21) 2262-2640","
         SMS200S3/30G - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=75caf1f1848d106d7f5043debd0dac85,"Solid State Drive (SSD) Lite On 32GB mSATA 3.0
          ,
          ","
			R$ 195,00
         ","Mr Bios ,
         (21) 2262-2640","
         LMS-32L6M - OEM,
         ",Lite On,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=75caf1f1848d106d7f5043debd0dac85,"Wi-Drive Storage Portátil 32GB, Armazenamento portátil e sem fios com 32Gb. Compatível com iPad, iPhone, e iPod touch. Integrado com Wi-Fi 802.11g/n; Sistema Operacional Compativel (Windows 7, Windows Vista (SP1, SP2), Mac OS v.10.5.x+ ,Linux v.2.6.x+) 
          ,
          ","
			R$ 195,00
         ","Mr Bios ,
         (21) 2262-2640","
         WID/32GBZE  - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
http://www.boadica.com.br/detalhevendedor.asp?codigo=979c12cd30d82f7dfcb0ecb929b72260,"SanDisk SDSA6GM-064G 2.5“ 64GB SATA 6.0GBPS Internal Solid State Drive (SSD)
          ,
          ","
			R$ 199,00
         ","Maximus Rio Comercial,
         (21) 3459-5551","
         SDSA6GM-064G - BOX,
         ",Sandisk,"Rio de Janeiro / RJ,Vista Alegre"
http://www.boadica.com.br/detalhevendedor.asp?codigo=16ccfefbbd797d6e8820a88b1002ef41,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 200,00
         ","Info 2000,
         (21) 3325-8226","
         SV300S37A/60G, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Barra da Tijuca"
http://www.boadica.com.br/detalhevendedor.asp?codigo=a95a0f14ea7737b20ddb3de1af56a22b,"Wi-Drive Storage Portátil 32GB, Armazenamento portátil e sem fios com 32Gb. Compatível com iPad, iPhone, e iPod touch. Integrado com Wi-Fi 802.11g/n; Sistema Operacional Compativel (Windows 7, Windows Vista (SP1, SP2), Mac OS v.10.5.x+ ,Linux v.2.6.x+) 
          ,
          ","
			R$ 204,00
         ","Primus Info Colegio,
         (21) 3164-7547","
         WID/32GBZE  - BOX,
         ",Kingston,"Rio de Janeiro / RJ,Colégio"
http://www.boadica.com.br/detalhevendedor.asp?codigo=f8800541dfa02b45b5700d3139857fe5,"Kingston SSDNow V300 Series SV300S37A/60G 2.5"" 60GB SATA III Internal Solid State Drive (SSD)
          ,
          ","
			R$ 204,00
         ","Vem Que Tem,
         (21) 3197-1675","
         SV300S37A/60G - BOX, 

         ,
         ",Kingston,"Rio de Janeiro / RJ,Centro"
