categoria,vendedor_link,especificacoes,vendedor,fabricante,preco,modelo,local
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=12f40959cb55205eee308f11ba5922e2,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","IAS Tecnologia,
         (21) 2401-1026",Corsair,"
			R$ 129,00
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Bangu"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=58d784cf2e2e58b376ee505ee3a548f5,"NVIDIA GeForce GTX 650 1GB GDDR5, Core Clock: 1058 MHz, Memory Clock: 5000 MHz, Memory Interface: 128-bit, Bus: PCI-Express 3.0 x16 (Compatible with 1.1), CUDA Cores: 384, RAMDAC: 400 MHz, Max Resolution: 1920 x 1080, Connectors: VGA, DVI, HDMI
          ,
          ,
          ,

         ","DeV Informática,
         (21) 2240-3855",Zotac,"
			R$ 325,00
         ","
         ZT-61012-10M - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=356fb70b5c98005bb69d13be9c30e18b,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Siloe Informática,
         (21) 3336-2730",Corsair,"
			R$ 129,90
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Bangu"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=11c01d343d9b718217a08e3c22d0d9ad,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Flying Computer,
         (21) 2431-2573",Corsair,"
			R$ 130,00
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Barra da Tijuca"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=8f0379589b782af811eec591d38b5e33,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Vegas,
         (21) 3549-0223",Corsair,"
			R$ 135,00
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=613475209426bd9924e15b0fce8b17b3,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","@N@ Informática,
         (21) 2568-6956",Corsair,"
			R$ 136,00
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Tijuca"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=c08d10af8649c73420a11629bcab8934,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Sapeca Informática,
         (21) 2544-7360",Corsair,"
			R$ 141,80
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=cc535eb07e4643e7f6b3f97cee3cbeec,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Gileade Informática,
         (21) 2544-7360",Corsair,"
			R$ 141,80
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Memória,http://www.boadica.com.br/detalhevendedor.asp?codigo=556a431151b11f1d5a7ed96fb7d0e5e0,"Memória de 4GB DDR3 1333MHZ CL 9-9-9 1.5V, PC3-10666 240-pin DIMM
          ,
          ,
          ,

         ","Only e One,
         (21)2215-2961",Corsair,"
			R$ 141,80
         ","
         CMV4GX3M1A1333C9 - BOX,
          , 

         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
Placas de vídeo/Edição,http://www.boadica.com.br/detalhevendedor.asp?codigo=8f0379589b782af811eec591d38b5e33,"NVIDIA GeForce GTX 650 1GB GDDR5, Core Clock: 1071 MHz, Memory Clock: 5000 MHz, Memory Interface: 128-bit, Bus: PCI-Express 3.0 x16, CUDA Cores: 384, RAMDAC: 400 MHz, Max Resolution: 2560 x 1600, Connectors: VGA, DVI, HDMI
          ,
          ,
          ,

         ","Vegas,
         (21) 3549-0223",Zotac,"
			R$ 328,00
         ","
         ZT-61008-10M - BOX,
         ,
,
         ,
         ","Rio de Janeiro / RJ,Centro"
